"Handle","Title","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant SKU","Metafield: product.color [list.single_line_text_field]","Metafield: product.size [list.single_line_text_field]","Metafield: product.fabric [single_line_text_field]","Metafield: product.age_group [single_line_text_field]","Metafield: product.target_gender [single_line_text_field]","Metafield: product.clothing_features [multi_line_text_field]"
"the-crochet-foldover-shorts-lemon-sorbet","The crochet foldover shorts - lemon sorbet","Size","12","Color","Lemon Sorbet","CROCHET-FOLDOVER-SRT-SOR-12","[Yellow]","[12]","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-lemon-sorbet","The crochet foldover shorts - lemon sorbet","Size","14","Color","Lemon Sorbet","CROCHET-FOLDOVER-SRT-SOR-14","[Yellow]","[14]","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-lemon-sorbet","","Size","","Color","sorbet","","","","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-lemon-sorbet","","Size","","Color","sorbet","","","","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-lemon-sorbet","","Size","","Color","sorbet","","","","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-mocha-melt","The crochet foldover shorts - mocha melt","Size","4","Color","Mocha Melt","CROCHET-FOLDOVER-SRT-MEL-4","[Brown]","[4]","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-mocha-melt","The crochet foldover shorts - mocha melt","Size","6","Color","Mocha Melt","CROCHET-FOLDOVER-SRT-MEL-6","[Brown]","[6]","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-mocha-melt","The crochet foldover shorts - mocha melt","Size","8","Color","Mocha Melt","CROCHET-FOLDOVER-SRT-MEL-8","[Brown]","[8]","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-mocha-melt","The crochet foldover shorts - mocha melt","Size","10","Color","Mocha Melt","CROCHET-FOLDOVER-SRT-MEL-10","[Brown]","[10]","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-mocha-melt","The crochet foldover shorts - mocha melt","Size","12","Color","Mocha Melt","CROCHET-FOLDOVER-SRT-MEL-12","[Brown]","[12]","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-mocha-melt","The crochet foldover shorts - mocha melt","Size","14","Color","Mocha Melt","CROCHET-FOLDOVER-SRT-MEL-14","[Brown]","[14]","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-mocha-melt","The crochet foldover shorts - mocha melt","Size","16","Color","Mocha Melt","CROCHET-FOLDOVER-SRT-MEL-16","[Brown]","[16]","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-mocha-melt","","Size","","Color","melt","","","","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-mocha-melt","","Size","","Color","melt","","","","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-strawberry-sorbet","The crochet foldover shorts - strawberry sorbet","Size","4","Color","Strawberry Sorbet","CROCHET-FOLDOVER-SRT-SOR-4-1","","[4]","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-strawberry-sorbet","The crochet foldover shorts - strawberry sorbet","Size","6","Color","Strawberry Sorbet","CROCHET-FOLDOVER-SRT-SOR-6-1","","[6]","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-strawberry-sorbet","The crochet foldover shorts - strawberry sorbet","Size","8","Color","Strawberry Sorbet","CROCHET-FOLDOVER-SRT-SOR-8-1","","[8]","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-strawberry-sorbet","The crochet foldover shorts - strawberry sorbet","Size","10","Color","Strawberry Sorbet","CROCHET-FOLDOVER-SRT-SOR-10-1","","[10]","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-strawberry-sorbet","The crochet foldover shorts - strawberry sorbet","Size","12","Color","Strawberry Sorbet","CROCHET-FOLDOVER-SRT-SOR-12-1","","[12]","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-strawberry-sorbet","The crochet foldover shorts - strawberry sorbet","Size","14","Color","Strawberry Sorbet","CROCHET-FOLDOVER-SRT-SOR-14-1","","[14]","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-strawberry-sorbet","","Size","","Color","sorbet","","","","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-strawberry-sorbet","","Size","","Color","sorbet","","","","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-strawberry-sorbet","","Size","","Color","sorbet","","","","Crochet","Adult","Female",""
"the-crochet-maxi-skirt-black-white","The crochet maxi skirt - black & white","Size","4","Color","Black & White","CROCHET-MAXI-SKT-WHT-4","[Black]","[4]","Crochet","Adult","Female",""
"the-crochet-maxi-skirt-black-white","The crochet maxi skirt - black & white","Size","6","Color","Black & White","CROCHET-MAXI-SKT-WHT-6","[Black]","[6]","Crochet","Adult","Female",""
"the-crochet-maxi-skirt-black-white","The crochet maxi skirt - black & white","Size","8","Color","Black & White","CROCHET-MAXI-SKT-WHT-8","[Black]","[8]","Crochet","Adult","Female",""
"the-crochet-maxi-skirt-black-white","The crochet maxi skirt - black & white","Size","10","Color","Black & White","CROCHET-MAXI-SKT-WHT-10","[Black]","[10]","Crochet","Adult","Female",""
"the-crochet-maxi-skirt-black-white","The crochet maxi skirt - black & white","Size","12","Color","Black & White","CROCHET-MAXI-SKT-WHT-12","[Black]","[12]","Crochet","Adult","Female",""
"the-crochet-maxi-skirt-black-white","The crochet maxi skirt - black & white","Size","14","Color","Black & White","CROCHET-MAXI-SKT-WHT-14","[Black]","[14]","Crochet","Adult","Female",""
"the-crochet-maxi-skirt-black-white","The crochet maxi skirt - black & white","Size","16","Color","Black & White","CROCHET-MAXI-SKT-WHT-16","[Black]","[16]","Crochet","Adult","Female",""
"the-crochet-maxi-skirt-black-white","","Size","","Color","white","","[White]","","Crochet","Adult","Female",""
"the-crochet-maxi-skirt-black-white","","Size","","Color","white","","[White]","","Crochet","Adult","Female",""
"the-crochet-maxi-skirt-black-white","","Size","","Color","white","","[White]","","Crochet","Adult","Female",""
"the-crochet-maxi-skirt-black-white","","Size","","Color","white","","[White]","","Crochet","Adult","Female",""
"the-crochet-maxi-skirt-black-white","","Size","","Color","white","","[White]","","Crochet","Adult","Female",""
"the-crochet-maxi-skirt-lemon-sorbet","The crochet maxi skirt - lemon sorbet","Size","4","Color","Lemon Sorbet","CROCHET-MAXI-SKT-SOR-4","[Yellow]","[4]","Crochet","Adult","Female",""
"the-crochet-maxi-skirt-lemon-sorbet","The crochet maxi skirt - lemon sorbet","Size","6","Color","Lemon Sorbet","CROCHET-MAXI-SKT-SOR-6","[Yellow]","[6]","Crochet","Adult","Female",""
"the-crochet-maxi-skirt-lemon-sorbet","The crochet maxi skirt - lemon sorbet","Size","8","Color","Lemon Sorbet","CROCHET-MAXI-SKT-SOR-8","[Yellow]","[8]","Crochet","Adult","Female",""
"the-crochet-maxi-skirt-lemon-sorbet","The crochet maxi skirt - lemon sorbet","Size","10","Color","Lemon Sorbet","CROCHET-MAXI-SKT-SOR-10","[Yellow]","[10]","Crochet","Adult","Female",""
