"Handle","Title","Status","Variant ID","Variant Title","Variant SKU","Variant Price","Variant Inventory Qty","Option1 Name","Option1 Value","Option2 Name","Option2 Value"
"the-crochet-foldover-shorts-strawberry-sorbet","The crochet foldover shorts - strawberry sorbet","active",55438001045890,"6 / Strawberry Sorbet","CROCHET-FOLDOVER-SRT-SOR-6-1","26.00",0,"Size","6","Color","Strawberry Sorbet"
"the-crochet-foldover-shorts-strawberry-sorbet","The crochet foldover shorts - strawberry sorbet","active",55438001078658,"8 / Strawberry Sorbet","CROCHET-FOLDOVER-SRT-SOR-8-1","26.00",0,"Size","8","Color","Strawberry Sorbet"
"the-crochet-foldover-shorts-strawberry-sorbet","The crochet foldover shorts - strawberry sorbet","active",55438001111426,"10 / Strawberry Sorbet","CROCHET-FOLDOVER-SRT-SOR-10-1","26.00",0,"Size","10","Color","Strawberry Sorbet"
"the-crochet-foldover-shorts-strawberry-sorbet","The crochet foldover shorts - strawberry sorbet","active",55438001144194,"12 / Strawberry Sorbet","CROCHET-FOLDOVER-SRT-SOR-12-1","26.00",15,"Size","12","Color","Strawberry Sorbet"
"the-crochet-foldover-shorts-strawberry-sorbet","The crochet foldover shorts - strawberry sorbet","active",55438001176962,"14 / Strawberry Sorbet","CROCHET-FOLDOVER-SRT-SOR-14-1","26.00",9,"Size","14","Color","Strawberry Sorbet"
"the-crochet-maxi-skirt-black-white","The crochet maxi skirt - black & white","active",43974060834869,"4 / Black & White","CROCHET-MAXI-SKT-WHT-4","30.00",20,"Size","4","Color","Black & White"
"the-crochet-maxi-skirt-black-white","The crochet maxi skirt - black & white","active",43974060867637,"6 / Black & White","CROCHET-MAXI-SKT-WHT-6","30.00",11,"Size","6","Color","Black & White"
"the-crochet-maxi-skirt-black-white","The crochet maxi skirt - black & white","active",43974060900405,"8 / Black & White","CROCHET-MAXI-SKT-WHT-8","30.00",26,"Size","8","Color","Black & White"
"the-crochet-maxi-skirt-black-white","The crochet maxi skirt - black & white","active",43974060933173,"10 / Black & White","CROCHET-MAXI-SKT-WHT-10","30.00",23,"Size","10","Color","Black & White"
"the-crochet-maxi-skirt-black-white","The crochet maxi skirt - black & white","active",43974060965941,"12 / Black & White","CROCHET-MAXI-SKT-WHT-12","30.00",7,"Size","12","Color","Black & White"
"the-crochet-maxi-skirt-black-white","The crochet maxi skirt - black & white","active",43974060998709,"14 / Black & White","CROCHET-MAXI-SKT-WHT-14","30.00",0,"Size","14","Color","Black & White"
"the-crochet-maxi-skirt-black-white","The crochet maxi skirt - black & white","active",43974061031477,"16 / Black & White","CROCHET-MAXI-SKT-WHT-16","30.00",0,"Size","16","Color","Black & White"
"the-crochet-maxi-skirt-lemon-sorbet","The crochet maxi skirt - lemon sorbet","active",55082797007234,"4 / Lemon Sorbet","CROCHET-MAXI-SKT-SOR-4","30.00",7,"Size","4","Color","Lemon Sorbet"
"the-crochet-maxi-skirt-lemon-sorbet","The crochet maxi skirt - lemon sorbet","active",55082797040002,"6 / Lemon Sorbet","CROCHET-MAXI-SKT-SOR-6","30.00",19,"Size","6","Color","Lemon Sorbet"
"the-crochet-maxi-skirt-lemon-sorbet","The crochet maxi skirt - lemon sorbet","active",55082797072770,"8 / Lemon Sorbet","CROCHET-MAXI-SKT-SOR-8","30.00",28,"Size","8","Color","Lemon Sorbet"
"the-crochet-maxi-skirt-lemon-sorbet","The crochet maxi skirt - lemon sorbet","active",55082797105538,"10 / Lemon Sorbet","CROCHET-MAXI-SKT-SOR-10","30.00",18,"Size","10","Color","Lemon Sorbet"
"the-crochet-maxi-skirt-lemon-sorbet","The crochet maxi skirt - lemon sorbet","active",55082797138306,"12 / Lemon Sorbet","CROCHET-MAXI-SKT-SOR-12","30.00",11,"Size","12","Color","Lemon Sorbet"
"the-crochet-maxi-skirt-lemon-sorbet","The crochet maxi skirt - lemon sorbet","active",55082797171074,"14 / Lemon Sorbet","CROCHET-MAXI-SKT-SOR-14","30.00",2,"Size","14","Color","Lemon Sorbet"
"the-crochet-maxi-skirt-mocha-melt","The crochet maxi skirt - mocha melt","active",55082759422338,"4 / Mocha Melt","CROCHET-MAXI-SKT-MEL-4","30.00",25,"Size","4","Color","Mocha Melt"
"the-crochet-maxi-skirt-mocha-melt","The crochet maxi skirt - mocha melt","active",55082759455106,"6 / Mocha Melt","CROCHET-MAXI-SKT-MEL-6","30.00",21,"Size","6","Color","Mocha Melt"
"the-crochet-maxi-skirt-mocha-melt","The crochet maxi skirt - mocha melt","active",55082759487874,"8 / Mocha Melt","CROCHET-MAXI-SKT-MEL-8","30.00",8,"Size","8","Color","Mocha Melt"
"the-crochet-maxi-skirt-mocha-melt","The crochet maxi skirt - mocha melt","active",55082759520642,"10 / Mocha Melt","CROCHET-MAXI-SKT-MEL-10","30.00",12,"Size","10","Color","Mocha Melt"
"the-crochet-maxi-skirt-mocha-melt","The crochet maxi skirt - mocha melt","active",55082759553410,"12 / Mocha Melt","CROCHET-MAXI-SKT-MEL-12","30.00",6,"Size","12","Color","Mocha Melt"
"the-crochet-maxi-skirt-mocha-melt","The crochet maxi skirt - mocha melt","active",55082759586178,"14 / Mocha Melt","CROCHET-MAXI-SKT-MEL-14","30.00",2,"Size","14","Color","Mocha Melt"
"the-crochet-maxi-skirt-strawberry-sorbet","The crochet maxi skirt - strawberry sorbet","active",55437976207746,"4 / Strawberry Sorbet","CROCHET-MAXI-SKT-SOR-4-1","30.00",6,"Size","4","Color","Strawberry Sorbet"
"the-crochet-maxi-skirt-strawberry-sorbet","The crochet maxi skirt - strawberry sorbet","active",55437976240514,"6 / Strawberry Sorbet","CROCHET-MAXI-SKT-SOR-6-1","30.00",19,"Size","6","Color","Strawberry Sorbet"
"the-crochet-maxi-skirt-strawberry-sorbet","The crochet maxi skirt - strawberry sorbet","active",55437976273282,"8 / Strawberry Sorbet","CROCHET-MAXI-SKT-SOR-8-1","30.00",16,"Size","8","Color","Strawberry Sorbet"
"the-crochet-maxi-skirt-strawberry-sorbet","The crochet maxi skirt - strawberry sorbet","active",55437976306050,"10 / Strawberry Sorbet","CROCHET-MAXI-SKT-SOR-10-1","30.00",18,"Size","10","Color","Strawberry Sorbet"
"the-crochet-maxi-skirt-strawberry-sorbet","The crochet maxi skirt - strawberry sorbet","active",55437976338818,"12 / Strawberry Sorbet","CROCHET-MAXI-SKT-SOR-12-1","30.00",11,"Size","12","Color","Strawberry Sorbet"
"the-crochet-maxi-skirt-strawberry-sorbet","The crochet maxi skirt - strawberry sorbet","active",55437976371586,"14 / Strawberry Sorbet","CROCHET-MAXI-SKT-SOR-14-1","30.00",2,"Size","14","Color","Strawberry Sorbet"
"the-crochet-tan-bikini-bottoms-mocha-melt","The crochet tan bikini bottoms -  mocha melt","active",55082766303618,"4 / Mocha Melt","CROCHET-TAN-BIK-MEL-4","20.00",0,"Size","4","Color","Mocha Melt"
"the-crochet-tan-bikini-bottoms-mocha-melt","The crochet tan bikini bottoms -  mocha melt","active",55082766336386,"6 / Mocha Melt","CROCHET-TAN-BIK-MEL-6","20.00",0,"Size","6","Color","Mocha Melt"
"the-crochet-tan-bikini-bottoms-mocha-melt","The crochet tan bikini bottoms -  mocha melt","active",55082766369154,"8 / Mocha Melt","CROCHET-TAN-BIK-MEL-8","20.00",0,"Size","8","Color","Mocha Melt"
"the-crochet-tan-bikini-bottoms-mocha-melt","The crochet tan bikini bottoms -  mocha melt","active",55082766401922,"10 / Mocha Melt","CROCHET-TAN-BIK-MEL-10","20.00",0,"Size","10","Color","Mocha Melt"
"the-crochet-tan-bikini-bottoms-mocha-melt","The crochet tan bikini bottoms -  mocha melt","active",55082766434690,"12 / Mocha Melt","CROCHET-TAN-BIK-MEL-12","20.00",0,"Size","12","Color","Mocha Melt"
"the-crochet-tan-bikini-bottoms-mocha-melt","The crochet tan bikini bottoms -  mocha melt","active",55082766467458,"14 / Mocha Melt","CROCHET-TAN-BIK-MEL-14","20.00",2,"Size","14","Color","Mocha Melt"
"the-crochet-tan-bikini-bottoms-mocha-melt","The crochet tan bikini bottoms -  mocha melt","active",55082766500226,"16 / Mocha Melt","CROCHET-TAN-BIK-MEL-16","20.00",0,"Size","16","Color","Mocha Melt"
"the-crochet-tan-bikini-bottoms-black-white","The crochet tan bikini bottoms - black & white","active",43974056902709,"4 / Black & White","CROCHET-TAN-BIK-WHT-4","20.00",0,"Size","4","Color","Black & White"
"the-crochet-tan-bikini-bottoms-black-white","The crochet tan bikini bottoms - black & white","active",43974056935477,"6 / Black & White","CROCHET-TAN-BIK-WHT-6","20.00",5,"Size","6","Color","Black & White"
"the-crochet-tan-bikini-bottoms-black-white","The crochet tan bikini bottoms - black & white","active",43974056968245,"8 / Black & White","CROCHET-TAN-BIK-WHT-8","20.00",0,"Size","8","Color","Black & White"
"the-crochet-tan-bikini-bottoms-black-white","The crochet tan bikini bottoms - black & white","active",43974057001013,"10 / Black & White","CROCHET-TAN-BIK-WHT-10","20.00",17,"Size","10","Color","Black & White"
"the-crochet-tan-bikini-bottoms-black-white","The crochet tan bikini bottoms - black & white","active",43974057033781,"12 / Black & White","CROCHET-TAN-BIK-WHT-12","20.00",15,"Size","12","Color","Black & White"
"the-crochet-tan-bikini-bottoms-black-white","The crochet tan bikini bottoms - black & white","active",43974057066549,"14 / Black & White","CROCHET-TAN-BIK-WHT-14","20.00",7,"Size","14","Color","Black & White"
"the-crochet-tan-bikini-bottoms-black-white","The crochet tan bikini bottoms - black & white","active",43974057099317,"16 / Black & White","CROCHET-TAN-BIK-WHT-16","20.00",6,"Size","16","Color","Black & White"
"the-crochet-tan-bikini-bottoms-blueberry-cream","The crochet tan bikini bottoms - blueberry cream","active",56588457869698,"4 / Blueberry Cream","CROCHET-TAN-BIK-CRE-4","22.00",20,"Size","4","Color","Blueberry Cream"
