"Handle","Title","Color (product.metafields.shopify.color-pattern)"
"the-crochet-wide-band-bikini-bottoms-strawberry-sorbet","The crochet wide band bikini bottoms - strawberry sorbet",""
"the-crochet-wide-band-bikini-bottoms-strawberry-sorbet","The crochet wide band bikini bottoms - strawberry sorbet",""
"the-crochet-wide-band-bikini-bottoms-strawberry-sorbet","The crochet wide band bikini bottoms - strawberry sorbet",""
"the-crochet-wide-band-bikini-bottoms-strawberry-sorbet","The crochet wide band bikini bottoms - strawberry sorbet",""
"the-wide-band-bikini-top-black-white-crochet","The crochet wide band bikini top - black & white",""
"the-wide-band-bikini-top-black-white-crochet","The crochet wide band bikini top - black & white",""
"the-wide-band-bikini-top-black-white-crochet","The crochet wide band bikini top - black & white",""
"the-wide-band-bikini-top-black-white-crochet","The crochet wide band bikini top - black & white",""
"the-wide-band-bikini-top-black-white-crochet","The crochet wide band bikini top - black & white",""
"the-wide-band-bikini-top-black-white-crochet","The crochet wide band bikini top - black & white",""
"the-wide-band-bikini-top-black-white-crochet","The crochet wide band bikini top - black & white",""
"the-crochet-wide-band-bikini-top-lemon-sorbet","The crochet wide band bikini top - lemon sorbet",""
"the-crochet-wide-band-bikini-top-lemon-sorbet","The crochet wide band bikini top - lemon sorbet",""
"the-crochet-wide-band-bikini-top-lemon-sorbet","The crochet wide band bikini top - lemon sorbet",""
"the-crochet-wide-band-bikini-top-lemon-sorbet","The crochet wide band bikini top - lemon sorbet",""
"the-crochet-wide-band-bikini-top-lemon-sorbet","The crochet wide band bikini top - lemon sorbet",""
"the-crochet-wide-band-bikini-top-lemon-sorbet","The crochet wide band bikini top - lemon sorbet",""
"the-crochet-wide-band-bikini-top-mocha-melt","The crochet wide band bikini top - mocha melt",""
"the-crochet-wide-band-bikini-top-mocha-melt","The crochet wide band bikini top - mocha melt",""
"the-crochet-wide-band-bikini-top-mocha-melt","The crochet wide band bikini top - mocha melt",""
"the-crochet-wide-band-bikini-top-mocha-melt","The crochet wide band bikini top - mocha melt",""
"the-crochet-wide-band-bikini-top-mocha-melt","The crochet wide band bikini top - mocha melt",""
"the-crochet-wide-band-bikini-top-mocha-melt","The crochet wide band bikini top - mocha melt",""
"the-crochet-wide-band-bikini-top-strawberry-sorbet","The crochet wide band bikini top - strawberry sorbet",""
"the-crochet-wide-band-bikini-top-strawberry-sorbet","The crochet wide band bikini top - strawberry sorbet",""
"the-crochet-wide-band-bikini-top-strawberry-sorbet","The crochet wide band bikini top - strawberry sorbet",""
"the-crochet-wide-band-bikini-top-strawberry-sorbet","The crochet wide band bikini top - strawberry sorbet",""
"the-crochet-wide-band-bikini-top-strawberry-sorbet","The crochet wide band bikini top - strawberry sorbet",""
"the-crochet-wide-band-bikini-top-strawberry-sorbet","The crochet wide band bikini top - strawberry sorbet",""
"the-delina-mini-chocolate","The delina mini - chocolate",""
