"Handle","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant SKU","Variant Inventory Qty","Variant Inventory Tracker","Variant Inventory Policy","Variant Fulfillment Service"
"the-crochet-wide-band-bikini-bottoms-mocha-melt","Size","6","Color","Melt","CROCHET-WIDE-BIK-MEL-6",15,"shopify","deny","manual"
"the-crochet-wide-band-bikini-bottoms-mocha-melt","Size","8","Color","Melt","CROCHET-WIDE-BIK-MEL-8",2,"shopify","deny","manual"
"the-crochet-wide-band-bikini-bottoms-mocha-melt","Size","10","Color","Melt","CROCHET-WIDE-BIK-MEL-10",9,"shopify","deny","manual"
"the-crochet-wide-band-bikini-bottoms-mocha-melt","Size","14","Color","Melt","CROCHET-WIDE-BIK-MEL-14",1,"shopify","deny","manual"
"the-crochet-wide-band-bikini-bottoms-strawberry-sorbet","Size","4","Color","Sorbet","CROCHET-WIDE-BIK-SOR-4-1",4,"shopify","deny","manual"
"the-crochet-wide-band-bikini-bottoms-strawberry-sorbet","Size","8","Color","Sorbet","CROCHET-WIDE-BIK-SOR-8-1",1,"shopify","deny","manual"
"the-crochet-wide-band-bikini-bottoms-strawberry-sorbet","Size","10","Color","Sorbet","CROCHET-WIDE-BIK-SOR-10-1",6,"shopify","deny","manual"
"the-crochet-wide-band-bikini-bottoms-strawberry-sorbet","Size","14","Color","Sorbet","CROCHET-WIDE-BIK-SOR-14-1",6,"shopify","deny","manual"
"the-crochet-wide-band-bikini-top-lemon-sorbet","Size","4","Color","Sorbet","CROCHET-WIDE-BIK-SOR-4-2",2,"shopify","deny","manual"
"the-crochet-wide-band-bikini-top-lemon-sorbet","Size","8","Color","Sorbet","CROCHET-WIDE-BIK-SOR-8-2",4,"shopify","deny","manual"
"the-crochet-wide-band-bikini-top-lemon-sorbet","Size","10","Color","Sorbet","CROCHET-WIDE-BIK-SOR-10-2",2,"shopify","deny","manual"
"the-crochet-wide-band-bikini-top-lemon-sorbet","Size","12","Color","Sorbet","CROCHET-WIDE-BIK-SOR-12-2",1,"shopify","deny","manual"
"the-crochet-wide-band-bikini-top-lemon-sorbet","Size","14","Color","Sorbet","CROCHET-WIDE-BIK-SOR-14-2",7,"shopify","deny","manual"
"the-crochet-wide-band-bikini-top-mocha-melt","Size","4","Color","Melt","CROCHET-WIDE-BIK-MEL-4-1",13,"shopify","deny","manual"
"the-crochet-wide-band-bikini-top-mocha-melt","Size","6","Color","Melt","CROCHET-WIDE-BIK-MEL-6-1",12,"shopify","deny","manual"
"the-crochet-wide-band-bikini-top-mocha-melt","Size","10","Color","Melt","CROCHET-WIDE-BIK-MEL-10-1",14,"shopify","deny","manual"
"the-crochet-wide-band-bikini-top-mocha-melt","Size","12","Color","Melt","CROCHET-WIDE-BIK-MEL-12-1",1,"shopify","deny","manual"
"the-crochet-wide-band-bikini-top-mocha-melt","Size","14","Color","Melt","CROCHET-WIDE-BIK-MEL-14-1",7,"shopify","deny","manual"
"the-crochet-wide-band-bikini-top-strawberry-sorbet","Size","4","Color","Sorbet","CROCHET-WIDE-BIK-SOR-4-3",7,"shopify","deny","manual"
"the-crochet-wide-band-bikini-top-strawberry-sorbet","Size","14","Color","Sorbet","CROCHET-WIDE-BIK-SOR-14-3",3,"shopify","deny","manual"
"the-knitted-scoop-dress-white","Size","12","Color","White","KNITTED-SCOOP-DRS-WHT-12",1,"shopify","deny","manual"
