"Handle","Title","Size","Variant SKU","Variant ID"
"the-crochet-foldover-shorts-strawberry-sorbet","The crochet foldover shorts - strawberry sorbet","8","CROCHET-FOLDOVER-SRT-SOR-8-1",55438001078658
"the-crochet-foldover-shorts-strawberry-sorbet","The crochet foldover shorts - strawberry sorbet","10","CROCHET-FOLDOVER-SRT-SOR-10-1",55438001111426
"the-crochet-maxi-skirt-black-white","The crochet maxi skirt - black & white","14","CROCHET-MAXI-SKT-WHT-14",43974060998709
"the-crochet-maxi-skirt-black-white","The crochet maxi skirt - black & white","16","CROCHET-MAXI-SKT-WHT-16",43974061031477
"the-crochet-tan-bikini-bottoms-mocha-melt","The crochet tan bikini bottoms -  mocha melt","4","CROCHET-TAN-BIK-MEL-4",55082766303618
"the-crochet-tan-bikini-bottoms-mocha-melt","The crochet tan bikini bottoms -  mocha melt","8","CROCHET-TAN-BIK-MEL-8",55082766369154
"the-crochet-tan-bikini-bottoms-mocha-melt","The crochet tan bikini bottoms -  mocha melt","10","CROCHET-TAN-BIK-MEL-10",55082766401922
"the-crochet-tan-bikini-bottoms-mocha-melt","The crochet tan bikini bottoms -  mocha melt","12","CROCHET-TAN-BIK-MEL-12",55082766434690
"the-crochet-tan-bikini-bottoms-mocha-melt","The crochet tan bikini bottoms -  mocha melt","16","CROCHET-TAN-BIK-MEL-16",55082766500226
"the-crochet-tan-bikini-bottoms-black-white","The crochet tan bikini bottoms - black & white","4","CROCHET-TAN-BIK-WHT-4",43974056902709
"the-crochet-tan-bikini-bottoms-black-white","The crochet tan bikini bottoms - black & white","8","CROCHET-TAN-BIK-WHT-8",43974056968245
"the-crochet-tan-bikini-bottoms-cherry-blush","The crochet tan bikini bottoms - cherry swirl","4","CROCHET-TAN-BIK-BLU-4",56604625437058
"the-crochet-tan-bikini-bottoms-cherry-blush","The crochet tan bikini bottoms - cherry swirl","6","CROCHET-TAN-BIK-BLU-6",56604625469826
"the-crochet-tan-bikini-bottoms-cherry-blush","The crochet tan bikini bottoms - cherry swirl","8","CROCHET-TAN-BIK-BLU-8",56604625502594
"the-crochet-tan-bikini-bottoms-cherry-blush","The crochet tan bikini bottoms - cherry swirl","10","CROCHET-TAN-BIK-BLU-10",56604625535362
"the-crochet-tan-bikini-bottoms-cherry-blush","The crochet tan bikini bottoms - cherry swirl","12","CROCHET-TAN-BIK-BLU-12",56604625568130
"the-crochet-tan-bikini-bottoms-cherry-blush","The crochet tan bikini bottoms - cherry swirl","14","CROCHET-TAN-BIK-BLU-14",56604625600898
"the-crochet-tan-bikini-bottoms-lemon-sorbet","The crochet tan bikini bottoms - lemon sorbet","4","CROCHET-TAN-BIK-SOR-4",55082804281730
"the-crochet-tan-bikini-bottoms-lemon-sorbet","The crochet tan bikini bottoms - lemon sorbet","8","CROCHET-TAN-BIK-SOR-8",55082804347266
"the-crochet-tan-bikini-bottoms-lemon-sorbet","The crochet tan bikini bottoms - lemon sorbet","16","CROCHET-TAN-BIK-SOR-16",55082804478338
"the-crochet-tan-bikini-bottoms-strawberry-sorbet","The crochet tan bikini bottoms - strawberry sorbet","4","CROCHET-TAN-BIK-SOR-4-1",56604625207682
"the-crochet-tan-bikini-bottoms-strawberry-sorbet","The crochet tan bikini bottoms - strawberry sorbet","6","CROCHET-TAN-BIK-SOR-6-1",56604625240450
"the-crochet-tan-bikini-bottoms-strawberry-sorbet","The crochet tan bikini bottoms - strawberry sorbet","8","CROCHET-TAN-BIK-SOR-8-1",56604625273218
"the-crochet-tan-bikini-bottoms-strawberry-sorbet","The crochet tan bikini bottoms - strawberry sorbet","10","CROCHET-TAN-BIK-SOR-10-1",56604625305986
