Handle,Size,Colour (lookup),Variant Inventory Qty,Variant SKU,Colour (import display),Title (import)
the-crochet-wide-band-bikini-top-lemon-sorbet,8,,4,CROCHET-WIDE-BIK-SOR-8-2,Lemon Sorbet,The crochet wide band bikini top
the-crochet-wide-band-bikini-top-lemon-sorbet,10,,2,CROCHET-WIDE-BIK-SOR-10-2,Lemon Sorbet,The crochet wide band bikini top
the-crochet-wide-band-bikini-top-lemon-sorbet,12,,1,CROCHET-WIDE-BIK-SOR-12-2,Lemon Sorbet,The crochet wide band bikini top
the-crochet-wide-band-bikini-top-lemon-sorbet,14,,7,CROCHET-WIDE-BIK-SOR-14-2,Lemon Sorbet,The crochet wide band bikini top
the-crochet-wide-band-bikini-top-mocha-melt,4,,13,CROCHET-WIDE-BIK-MEL-4-1,Mocha Melt,The crochet wide band bikini top
the-crochet-wide-band-bikini-top-mocha-melt,6,,12,CROCHET-WIDE-BIK-MEL-6-1,Mocha Melt,The crochet wide band bikini top
the-crochet-wide-band-bikini-top-mocha-melt,10,,14,CROCHET-WIDE-BIK-MEL-10-1,Mocha Melt,The crochet wide band bikini top
the-crochet-wide-band-bikini-top-mocha-melt,12,,1,CROCHET-WIDE-BIK-MEL-12-1,Mocha Melt,The crochet wide band bikini top
the-crochet-wide-band-bikini-top-mocha-melt,14,,7,CROCHET-WIDE-BIK-MEL-14-1,Mocha Melt,The crochet wide band bikini top
the-crochet-wide-band-bikini-top-strawberry-sorbet,4,,7,CROCHET-WIDE-BIK-SOR-4-3,Strawberry Sorbet,The crochet wide band bikini top
the-crochet-wide-band-bikini-top-strawberry-sorbet,14,,3,CROCHET-WIDE-BIK-SOR-14-3,Strawberry Sorbet,The crochet wide band bikini top
the-lace-maxi-skirt-black-floral,4,,22,MAXI-SKT-FLO-4,Black Floral,The lace maxi skirt
the-lace-maxi-skirt-black-floral,6,,35,MAXI-SKT-FLO-6,Black Floral,The lace maxi skirt
the-lace-maxi-skirt-black-floral,8,,28,MAXI-SKT-FLO-8,Black Floral,The lace maxi skirt
the-lace-maxi-skirt-black-floral,10,,37,MAXI-SKT-FLO-10,Black Floral,The lace maxi skirt
the-lace-maxi-skirt-black-floral,12,,11,MAXI-SKT-FLO-12,Black Floral,The lace maxi skirt
the-lace-maxi-skirt-black-floral,14,,9,MAXI-SKT-FLO-14,Black Floral,The lace maxi skirt
the-lace-maxi-skirt-black-floral,16,,12,MAXI-SKT-FLO-16,Black Floral,The lace maxi skirt
the-lace-maxi-skirt-white-floral,4,,22,MAXI-SKT-FLO-4-1,White Floral,The lace maxi skirt
the-lace-maxi-skirt-white-floral,6,,25,MAXI-SKT-FLO-6-1,White Floral,The lace maxi skirt
the-lace-maxi-skirt-white-floral,8,,4,MAXI-SKT-FLO-8-1,White Floral,The lace maxi skirt
the-lace-maxi-skirt-white-floral,10,,7,MAXI-SKT-FLO-10-1,White Floral,The lace maxi skirt
the-lace-maxi-skirt-white-floral,12,,8,MAXI-SKT-FLO-12-1,White Floral,The lace maxi skirt
the-lace-maxi-skirt-white-floral,14,,7,MAXI-SKT-FLO-14-1,White Floral,The lace maxi skirt
the-lace-maxi-skirt-white-floral,16,,8,MAXI-SKT-FLO-16-1,White Floral,The lace maxi skirt
the-lace-trim-bikini-bottoms-blue-floral,XS (4-6),,5,TRIM-BOTTOMS-BIK-FLO-XS,Blue Floral,The lace trim bikini bottoms
the-lace-trim-bikini-bottoms-blue-floral,M (8-10),,6,TRIM-BOTTOMS-BIK-FLO-M,Blue Floral,The lace trim bikini bottoms
the-lace-trim-bikini-bottoms-pink-floral,XS (4-6),,2,TRIM-BOTTOMS-BIK-FLO-XS-1,Pink Floral,The lace trim bikini bottoms
the-lace-trim-bikini-bottoms-pink-floral,XL (12-14),,1,TRIM-BOTTOMS-BIK-FLO-XL-1,Pink Floral,The lace trim bikini bottoms
the-lace-trim-tie-side-bikini-bottoms-black-white-floral,XL (12-14),,2,TRIM-TIE-BIK-FLO-XL,White Floral,The lace trim tie side bikini bottoms
the-lace-trim-tie-side-bikini-bottoms-blue-floral,XL (12-14),,2,TRIM-TIE-BIK-FLO-XL-1,Blue Floral,The lace trim tie side bikini bottoms
the-lace-trim-tie-side-bikini-bottoms-lemon-floral,L (10-12),,9,TRIM-TIE-BIK-FLO-L-2,Lemon Floral,The lace trim tie side bikini bottoms
the-lace-trim-tie-side-bikini-bottoms-lemon-floral,XL (12-14),,2,TRIM-TIE-BIK-FLO-XL-2,Lemon Floral,The lace trim tie side bikini bottoms
the-lace-trim-bikini-top-black-white-floral,XS (4-6),,1,TRIM-TRIANGLE-BIK-FLO-XS,White Floral,The lace trim triangle top
the-lace-trim-bikini-top-lemon-floral,XS (4-6),,1,TRIM-TRIANGLE-BIK-FLO-XS-1,Lemon Floral,The lace trim triangle top
the-strappy-mesh-maxi-blue-floral,4,,3,STRAPPY-MESH-GEN-FLO-4,Blue Floral,The strappy mesh maxi
the-strappy-mesh-maxi-blue-floral,6,,8,STRAPPY-MESH-GEN-FLO-6,Blue Floral,The strappy mesh maxi
the-strappy-mesh-maxi-blue-floral,10,,1,STRAPPY-MESH-GEN-FLO-10,Blue Floral,The strappy mesh maxi
the-strappy-mesh-maxi-blue-floral,12,,2,STRAPPY-MESH-GEN-FLO-12,Blue Floral,The strappy mesh maxi
the-strapy-mesh-maxi-pink-floral,4,,1,STRAPPY-MESH-GEN-FLO-4-1,Pink Floral,The strappy mesh maxi
the-strapy-mesh-maxi-pink-floral,6,,3,STRAPPY-MESH-GEN-FLO-6-1,Pink Floral,The strappy mesh maxi
the-tie-up-sarong-black-white-floral,One size,,53,TIE-UP-GEN-FLO-ONESIZE,White Floral,The tie up sarong
the-tie-up-sarong-blue-floral,One size,,127,TIE-UP-GEN-FLO-ONESIZE-1,Blue Floral,The tie up sarong
the-tie-up-sarong-lemon-floral,One size,,81,TIE-UP-GEN-FLO-ONESIZE-2,Lemon Floral,The tie up sarong
the-tie-up-sarong-pink-floral,One size,,90,TIE-UP-GEN-FLO-ONESIZE-3,Pink Floral,The tie up sarong
the-underwire-lace-trim-bikini-top-blue-floral,XL (12-14),,3,UNDERWIRE-TRIM-BIK-FLO-XL,Blue Floral,The underwire lace trim bikini top
the-lace-maxi-skirt-white-floral,4,,22,MAXI-SKT-FLO-4-1,White Floral,The lace maxi skirt
